DataHora;CO_%;CO2_%;HC_ppm;O2_%;NOx_ppm;RPM;Temp_C
06:49:58.298;0,0;0,0;0;20,9;0;0;250,0
06:49:58.517;0,0;0,0;0;20,9;0;0;250,0
06:49:58.689;0,0;0,0;0;20,9;0;0;250,0
06:49:58.862;0,0;0,0;0;20,9;0;0;250,0
06:49:59.039;0,0;0,0;0;20,9;0;0;250,0
06:49:59.220;0,0;0,0;0;20,9;0;0;250,0
06:49:59.395;0,0;0,0;0;20,9;0;0;250,0
06:49:59.567;0,0;0,0;0;20,9;0;0;250,0
06:49:59.742;0,0;0,0;0;20,9;0;0;250,0
06:49:59.924;0,0;0,0;0;20,9;0;0;250,0
06:50:00.092;0,0;0,0;0;20,9;0;0;250,0
06:50:00.264;0,0;0,0;0;20,9;0;0;250,0
06:50:00.437;0,0;0,0;0;20,9;0;0;250,0
06:50:00.619;0,0;0,0;0;20,9;0;0;250,0
06:50:00.794;0,0;0,0;0;20,9;0;0;250,0
06:50:01.030;0,0;0,0;0;20,9;0;0;250,0
06:50:01.263;0,0;0,0;0;20,9;0;0;250,0
06:50:01.493;0,0;0,0;0;20,9;0;0;250,0
06:50:02.789;0,0;0,0;0;20,9;0;0;250,0
06:50:03.876;0,0;0,0;0;20,9;0;0;250,0
06:50:04.825;0,0;0,0;0;20,9;0;0;250,0
06:50:05.893;0,0;0,0;0;20,9;0;0;250,0
06:50:06.855;0,0;0,0;0;20,9;0;0;250,0
06:50:07.779;0,0;0,0;0;20,9;0;0;250,0
06:50:08.841;0,0;0,0;0;20,9;0;0;250,0
06:50:09.832;0,0;0,0;0;20,9;0;0;250,0
06:50:10.876;0,0;0,0;0;20,9;0;0;250,0
06:50:11.852;0,0;0,0;0;20,9;0;0;250,0
06:50:12.826;0,0;0,0;0;20,9;0;0;250,0
06:50:13.873;0,0;0,0;0;20,9;0;0;250,0
06:50:14.843;0,0;0,0;0;20,9;0;0;250,0
06:50:15.844;0,0;0,0;0;20,9;0;0;250,0
06:50:16.847;0,0;0,0;0;20,9;0;0;250,0
06:50:17.876;0,0;0,0;0;20,9;0;0;250,0
06:50:18.836;0,0;0,0;0;20,9;0;0;250,0
06:50:19.853;0,0;0,0;0;20,9;0;0;250,0
06:50:20.863;0,0;0,0;0;20,9;0;0;250,0
06:50:21.884;0,0;0,0;0;20,9;0;0;250,0
06:50:22.828;0,0;0,0;0;20,9;0;0;250,0
06:50:23.842;0,0;0,0;0;20,9;0;0;250,0
06:50:24.846;0,0;0,0;0;20,9;0;0;250,0
06:50:25.796;0,0;0,0;0;20,9;0;0;250,0
06:50:26.875;0,0;0,0;0;20,9;0;0;250,0
06:50:27.849;0,0;0,0;0;20,9;0;0;250,0
06:50:28.871;0,0;0,0;0;20,9;0;0;250,0
06:50:29.847;0,0;0,0;0;20,9;0;0;250,0
06:50:30.842;0,0;0,0;0;20,9;0;0;250,0
06:50:31.845;0,0;0,0;0;20,9;0;0;250,0
06:50:32.856;0,0;0,0;0;20,9;0;0;250,0
06:50:33.857;0,0;0,0;0;20,9;0;0;250,0
06:50:34.885;0,0;0,0;1;20,9;0;0;250,0
06:50:35.827;0,0;0,0;1;20,9;0;0;250,0
06:50:36.848;0,0;0,0;1;20,9;0;0;250,0
06:50:37.807;0,0;0,0;1;20,9;0;0;250,0
