Data e Hora,Direção,Hex,ASCII,Nota
08:03:04.346,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:04.397,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D6 0A B8 27 F0 FF 00 00 09 00 4D 0D 90 16 00 00,,
08:03:04.455,EQP_TO_SOF,C6 18 06 A2 6C 8F E4 36 88 0B,,
08:03:05.347,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:05.405,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D6 0A B8 27 F0 FF 00 00 09 00 4E 0D 90 16 00 00 C1 18 0B A2 56 8F F2,,
08:03:05.463,EQP_TO_SOF,36 81 0B,,
08:03:06.353,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:06.403,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D6 0A B8 27 0E 00 00 00 09 00 4E 0D 90 16 00 00,,
08:03:06.458,EQP_TO_SOF,C1 18 07 A2 4D 8F F2 36 93 09,,
08:03:07.306,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:07.363,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D6 0A B8 27 0E 00 00 00 09 00 50 0D 90 16 00 00 C5 18 09 A2 46 8F,,
08:03:07.427,EQP_TO_SOF,E4 36 86 09,,
08:03:08.327,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:08.390,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D6 0A B8 27 16 00 00 00 09 00 51 0D 90 16 00 00 C4 18 0A A2 46 8F F1 36 9C 09,,
08:03:09.325,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:09.376,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D7 0A B8 27 16 00 00 00 09 00 51 0D 90 16 00 00 C2,,
08:03:09.434,EQP_TO_SOF,18 0E A2 5C 8F E7 36 AB 09,,
08:03:10.327,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:03:10.385,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 45 08 FF FF 00 00 C4 09 D8 0A B8 27 F0 FF 00 00 0A 00 51 0D 90 16 00 00 C0 18 0E A2 48 8F EA 36,,
08:03:10.451,EQP_TO_SOF,73 0B,,
08:03:11.316,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
