Data e Hora,Direção,Hex,ASCII,Nota
07:59:32.761,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
07:59:32.818,EQP_TO_SOF,04 06 0B 00 02 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 02 00 00 00 00 99 00,,
07:59:32.873,SOF_TO_EQP,08 00 03 00 01 00 00 00 20 00 2C 00,,REALIZANDO ZERO
07:59:32.932,EQP_TO_SOF,08 06 00 00 0E 00,,
07:59:33.110,SOF_TO_EQP,08 00 03 00 01 00 00 00 34 00 40 00,,REALIZANDO ZERO
07:59:33.168,EQP_TO_SOF,08 06 00 00 0E 00,,
08:00:08.242,SOF_TO_EQP,02 00 02 00 00 00 07 00 0B 00,,CALIBRANDO
08:00:08.300,EQP_TO_SOF,02 05 00 00 07 00,,
08:00:08.542,SOF_TO_EQP,0B 00 00 00 0B 00,,
08:00:08.599,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
08:00:08.833,SOF_TO_EQP,02 01 00 00 03 00,,
08:00:08.889,EQP_TO_SOF,02 06 01 00 00 00 09 00,,
08:00:10.895,SOF_TO_EQP,02 00 02 00 01 00 08 00 0D 00,,
08:00:10.951,EQP_TO_SOF,02 05 00 00 07 00,,
08:00:11.185,SOF_TO_EQP,0B 00 00 00 0B 00,,
08:00:11.243,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
08:00:11.485,SOF_TO_EQP,02 01 00 00 03 00,,
08:00:11.536,EQP_TO_SOF,02 06 01 00 00 00 09 00,,
08:00:21.636,SOF_TO_EQP,02 00 02 00 00 00 17 00 1B 00,,
08:00:21.692,EQP_TO_SOF,02 05 00 00 07 00,,
08:00:21.919,SOF_TO_EQP,0B 00 00 00 0B 00,,
08:00:21.977,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
08:00:22.203,SOF_TO_EQP,02 01 00 00 03 00,,
08:00:22.268,EQP_TO_SOF,02 06 01 00 00 00 09 00,,
08:00:22.318,SOF_TO_EQP,08 00 03 00 01 00 00 00 00 00 0C 00,,
08:00:22.375,EQP_TO_SOF,08 06 00 00 0E 00,,
08:00:22.431,SOF_TO_EQP,08 00 03 00 01 00 00 00 10 00 1C 00,,AGUARDANDO MEDIÇÃO
08:00:22.489,EQP_TO_SOF,08 06 00 00 0E 00,,
08:00:22.547,SOF_TO_EQP,08 00 03 00 01 00 00 00 10 00 1C 00,,AGUARDANDO MEDIÇÃO
08:00:22.603,EQP_TO_SOF,08 06 00 00 0E 00,,
08:00:22.661,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:22.718,EQP_TO_SOF,03 05 00 00 08 00,,
08:00:22.947,SOF_TO_EQP,0B 00 00 00 0B 00,,
08:00:23.005,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
08:00:23.241,SOF_TO_EQP,03 01 00 00 04 00,,
08:00:23.299,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 F0 FF 00 00 00 00 D8 0C 90 16 00 00 E0 18 1F A1 F6 8C CF 36 69 0A,,
08:00:23.364,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:23.429,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 F0 FF 00 00 00 00 D8 0C 90 16 00 00 E0 18 1F A1 F6 8C CF 36 69 0A,,
08:00:23.488,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:23.538,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 F0 FF 00 00 00 00 D8 0C 90 16 00 00,,
08:00:23.596,EQP_TO_SOF,E0 18 1F A1 F6 8C CF 36 69 0A,,
08:00:23.647,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:23.705,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 15 00 00 00 00 00 D8 0C 90 16 00 00 E0 18 27 A1 F6 8C CF 36,,
08:00:23.763,EQP_TO_SOF,97 08,,
08:00:23.877,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:23.934,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 15 00 00 00 00 00 D8 0C 90 16 00 00 E0 18 27 A1 F6 8C CF,,
08:00:23.986,EQP_TO_SOF,36 97 08,,
08:00:24.098,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:24.155,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 0D 00 00 00 00 00 D9 0C 90 16 00 00 E0 18 27 A1 E8 8C CF,,
08:00:24.213,EQP_TO_SOF,36 82 08,,
08:00:24.327,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:24.384,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 0D 00 00 00 00 00 D9 0C 90 16 00 00 E0 18 27 A1 E8 8C CF,,
08:00:24.436,EQP_TO_SOF,36 82 08,,
08:00:24.550,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:24.607,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 F0 FF 00 00 00 00 D9 0C 90 16 00 00 DD 18 27 A1 E8 8C D5,,
08:00:24.672,EQP_TO_SOF,36 67 0A,,
08:00:24.738,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:24.794,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AD 0A B7 27 F0 FF 00 00 00 00 D9 0C 90 16 00 00 DD 18 27 A1 E8 8C,,
08:00:24.857,EQP_TO_SOF,D5 36 67 0A,,
08:00:24.969,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:25.023,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AE 0A B7 27 15 00 00 00 00 00 DA 0C 90 16 00 00 DD 18 24 A1,,
08:00:25.079,EQP_TO_SOF,E8 8C D5 36 8C 08,,
08:00:25.202,SOF_TO_EQP,08 00 03 00 01 00 00 00 10 00 1C 00,,AGUARDANDO MEDIÇÃO
08:00:25.260,EQP_TO_SOF,08 06 00 00 0E 00,,
08:00:26.344,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:26.402,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AF 0A B7 27 15 00 00 00 00 00 DA 0C 90 16 00 00 D7 18 2A A1 DC 8C D5 36,,
08:00:26.453,EQP_TO_SOF,81 08,,
08:00:27.305,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:27.363,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AF 0A B7 27 15 00 00 00 00 00 DC 0C 90 16 00 00 D8 18 2A A1 E5 8C D1 36,,
08:00:27.418,EQP_TO_SOF,89 08,,
08:00:28.319,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:28.377,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AF 0A B7 27 F0 FF 00 00 00 00 DD 0C 90 16 00 00 D1 18 2A A1 EE 8C D3 36,,
08:00:28.434,EQP_TO_SOF,68 0A,,
08:00:29.330,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:29.386,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AF 0A B7 27 F0 FF 00 00 00 00 DD 0C 90 16 00 00 D4 18 24 A1 BD 8C D2,,
08:00:29.443,EQP_TO_SOF,36 33 0A,,
08:00:30.352,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:30.408,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 AF 0A B7 27 0D 00 00 00 00 00 DE 0C 90 16 00 00 D4 18 23 A1 C6 8C D2,,
08:00:30.465,EQP_TO_SOF,36 5A 08,,
08:00:31.317,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:31.374,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 31 08 00 00 00 00 C4 09 AF 0A B7 27 0D 00 00 00 00 00 E0 0C 90 16 00 00 D2 18 28 A1 C2 8C D5,,
08:00:31.440,EQP_TO_SOF,36 65 08,,
08:00:32.293,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:32.353,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 34 08 00 00 00 00 C4 09 B0 0A B7 27 15 00 00 00 00 00 E0 0C 90 16 00 00 D8 18 1E A1 C2 8C D1 36 69,,
08:00:32.414,EQP_TO_SOF,08,,
08:00:33.337,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:00:33.402,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 38 08 00 00 00 00 C4 09 B1 0A B7 27 15 00 00 00 00 00 E0 0C 90 16 00 00 D4 18 1F A1 B9 8C D6 36 67 08,,
08:00:34.337,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
