Data e Hora,Direção,Hex,ASCII,Nota
12:37:55.261,SOF_TO_EQP,08,,
12:37:55.323,SOF_TO_EQP,00 03 00 01 00 00 00 00 00 0C 00,,
12:37:55.323,EQP_TO_SOF,08 06 00,,
12:37:55.385,EQP_TO_SOF,00 0E 00,,
12:37:57.426,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:37:57.426,EQP_TO_SOF,04 06,,
12:37:57.487,EQP_TO_SOF,0B 00 01 40,,
12:37:57.550,EQP_TO_SOF,00 00 00 00,,
12:37:57.612,EQP_TO_SOF,00 00 00 00,,
12:37:57.674,EQP_TO_SOF,00 00 00 00 47,,
12:37:57.735,EQP_TO_SOF,00 00 00 EB,,
12:37:57.799,EQP_TO_SOF,80 93 00 9B,,
12:37:57.859,SOF_TO_EQP,04,,
12:37:57.859,EQP_TO_SOF,02,,
12:37:57.921,SOF_TO_EQP,00 00 00 04 00,,
12:37:57.922,EQP_TO_SOF,04 06 0B 00,,
12:37:57.983,EQP_TO_SOF,01 40 00 00,,
12:37:58.046,EQP_TO_SOF,00 00 00 00 00,,
12:37:58.109,EQP_TO_SOF,00 00 00 00,,
12:37:58.170,EQP_TO_SOF,00 47 00 00 00 EB,,
12:37:58.232,EQP_TO_SOF,80 92 00 9A,,
12:37:58.294,EQP_TO_SOF,02,,
12:37:58.356,EQP_TO_SOF,04 06,,
12:37:58.356,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:37:58.417,EQP_TO_SOF,0B 00 01 40,,
12:37:58.480,EQP_TO_SOF,00 00 00 00,,
12:37:58.541,EQP_TO_SOF,00 00 00 00 00,,
12:37:58.604,EQP_TO_SOF,00 00 00 47,,
12:37:58.666,EQP_TO_SOF,00 00 00 EB 80 92 00,,
12:37:58.727,EQP_TO_SOF,9A 02,,
12:37:58.789,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:37:58.850,EQP_TO_SOF,04 06 0B 00 01,,
12:37:58.911,EQP_TO_SOF,40 00 00 00,,
12:37:58.975,EQP_TO_SOF,00 00 00 00 00,,
12:37:59.036,EQP_TO_SOF,00 00 00 00 47,,
12:37:59.099,EQP_TO_SOF,00 00 00 EB 80,,
12:37:59.161,EQP_TO_SOF,92 00 9A 02,,
12:37:59.224,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:37:59.224,EQP_TO_SOF,04 06,,
12:37:59.286,EQP_TO_SOF,0B 00 01 40,,
12:37:59.348,EQP_TO_SOF,00 00 00 00,,
12:37:59.409,EQP_TO_SOF,00 00 00 00,,
12:37:59.471,EQP_TO_SOF,00 00 00 00 47,,
12:37:59.532,EQP_TO_SOF,00 00 00 EB 80,,
12:37:59.595,EQP_TO_SOF,92 00 9A 02,,
12:37:59.718,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:37:59.718,EQP_TO_SOF,04 06 0B,,
12:37:59.780,EQP_TO_SOF,00 01 40 00,,
12:37:59.842,EQP_TO_SOF,00 00 00 00,,
12:37:59.904,EQP_TO_SOF,00 00 00 00,,
12:37:59.968,EQP_TO_SOF,00 00 00 47 00,,
12:38:00.030,EQP_TO_SOF,00 00 EB 80,,
12:38:00.093,EQP_TO_SOF,92 00 9A 02,,
12:38:00.217,EQP_TO_SOF,04 06,,
12:38:00.218,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:38:00.280,EQP_TO_SOF,0B 00 01 40 00 00,,
12:38:00.341,EQP_TO_SOF,00 00 00 00,,
12:38:00.402,EQP_TO_SOF,00 00 00 00,,
12:38:00.464,EQP_TO_SOF,00 00 47 00,,
12:38:00.526,EQP_TO_SOF,00 00 EB 80 92 00,,
12:38:00.589,EQP_TO_SOF,9A 02,,
12:38:00.652,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:38:00.653,EQP_TO_SOF,04,,
12:38:00.713,EQP_TO_SOF,06 0B 00 01 40,,
12:38:00.775,EQP_TO_SOF,00 00 00 00 00,,
12:38:00.836,EQP_TO_SOF,00 00 00 00,,
12:38:00.898,EQP_TO_SOF,00 00 00 47 00,,
12:38:00.961,EQP_TO_SOF,00 00 EB 80 92 00,,
12:38:01.023,EQP_TO_SOF,9A 02,,
12:38:01.084,EQP_TO_SOF,04 06 0B,,
12:38:01.084,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO
12:38:01.146,EQP_TO_SOF,00 01 40 00 00,,
