Data e Hora,Direção,Hex,ASCII,Nota
06:49:08.353,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:49:08.408,EQP_TO_SOF,04 06 0B 00 02 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 02 00 00 00 00 99 00,,
06:49:08.467,SOF_TO_EQP,08 00 03 00 01 00 00 00 20 00 2C 00,,REALIZANDO ZERO
06:49:08.524,EQP_TO_SOF,08 06 00 00 0E 00,,
06:49:08.695,SOF_TO_EQP,08 00 03 00 01 00 00 00 34 00 40 00,,REALIZANDO ZERO
06:49:08.748,EQP_TO_SOF,08 06 00 00 0E 00,,
06:49:43.816,SOF_TO_EQP,02 00 02 00 00 00 07 00 0B 00,,CALIBRANDO
06:49:43.878,EQP_TO_SOF,02 05 00 00 07 00,,
06:49:44.143,SOF_TO_EQP,0B 00 00 00 0B 00,,
06:49:44.176,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
06:49:44.415,SOF_TO_EQP,02 01 00 00 03 00,,
06:49:44.477,EQP_TO_SOF,02 06 01 00 00 00 09 00,,
06:49:46.514,SOF_TO_EQP,02 00 02 00 01 00 08 00 0D 00,,
06:49:46.575,EQP_TO_SOF,02 05 00 00 07 00,,
06:49:46.805,SOF_TO_EQP,0B 00 00 00 0B 00,,
06:49:46.856,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
06:49:47.125,SOF_TO_EQP,02 01 00 00 03 00,,
06:49:47.176,EQP_TO_SOF,02 06 01 00 00 00 09 00,,
06:49:57.238,SOF_TO_EQP,02 00 02 00 00 00 17 00 1B 00,,
06:49:57.253,EQP_TO_SOF,02 05 00,,
06:49:57.311,EQP_TO_SOF,00 07 00,,
06:49:57.530,SOF_TO_EQP,0B 00 00 00 0B 00,,
06:49:57.546,EQP_TO_SOF,0B 06 02 00 00 00 00 00,,
06:49:57.607,EQP_TO_SOF,13 00,,
06:49:57.878,SOF_TO_EQP,02 01 00 00 03 00,,
06:49:57.903,EQP_TO_SOF,02 06 01 00 00 00 09 00,,
06:49:57.931,SOF_TO_EQP,08 00 03 00 01 00 00 00 00 00 0C 00,,
06:49:57.955,EQP_TO_SOF,08 06 00 00 0E 00,,
06:49:57.992,SOF_TO_EQP,08 00 03 00 01 00 00 00 10 00 1C 00,,AGUARDANDO MEDIÇÃO
06:49:58.016,EQP_TO_SOF,08 06 00 00 0E 00,,
06:49:58.094,SOF_TO_EQP,08 00 03 00 01 00 00 00 10 00 1C 00,,AGUARDANDO MEDIÇÃO
06:49:58.133,EQP_TO_SOF,08 06 00 00 0E 00,,
06:49:58.208,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:58.241,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4,,
06:49:58.298,EQP_TO_SOF,09 FE 0A C2 27 F0 FF 00 00 00 00 47 0E 91 16 00 00 3D 19 2D A2 F7 8E D2 36 AA 09,,
06:49:58.435,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:58.463,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00,,
06:49:58.517,EQP_TO_SOF,00 00 00 C4 09 FE 0A C2 27 16 00 00 00 00 00 47 0E 91 16 00 00 3D 19 27 A2 F7 8E D2 36 CB 07,,
06:49:58.607,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:58.626,EQP_TO_SOF,03 06 14 00 00,,
06:49:58.689,EQP_TO_SOF,00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 16 00 00 00 00 00 47 0E 91 16 00 00 3D 19 27 A2 F7 8E D2 36 CB 07,,
06:49:58.787,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:58.805,EQP_TO_SOF,03 06 14 00 00,,
06:49:58.862,EQP_TO_SOF,00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 0E 00 00 00 00 00 47 0E 91 16 00 00 3D 19 27 A2 D9 8E D2 36 A5 07,,
06:49:58.957,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:58.976,EQP_TO_SOF,03 06 14 00 00,,
06:49:59.039,EQP_TO_SOF,00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 0E 00 00 00 00 00 47 0E 91 16 00 00 3D 19 27 A2 D9 8E D2 36 A5 07,,
06:49:59.133,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:59.156,EQP_TO_SOF,03 06 14 00 00 00 00 00 00,,
06:49:59.220,EQP_TO_SOF,00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 F0 FF 00 00 00 00 48 0E 91 16 00 00 3F 19 27 A2 D9 8E D1 36 88 09,,
06:49:59.304,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:59.337,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4,,
06:49:59.395,EQP_TO_SOF,09 FE 0A C2 27 F0 FF 00 00 00 00 48 0E 91 16 00 00 3F 19 27 A2 D9 8E D1 36 88 09,,
06:49:59.477,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:59.516,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 16,,
06:49:59.567,EQP_TO_SOF,00 00 00 00 00 48 0E 91 16 00 00 3F 19 29 A2 D9 8E D1 36 B1 07,,
06:49:59.647,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:59.681,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE,,
06:49:59.742,EQP_TO_SOF,0A C2 27 16 00 00 00 00 00 48 0E 91 16 00 00 3F 19 29 A2 D9 8E D1 36 B1 07,,
06:49:59.816,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:49:59.864,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 16 00 00 00 00 00 48 0E 91 16,,
06:49:59.924,EQP_TO_SOF,00 00 3F 19 29 A2 D9 8E D1 36 B1 07,,
06:49:59.995,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:50:00.037,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 0E 00 00 00,,
06:50:00.092,EQP_TO_SOF,00 00 48 0E 91 16 00 00 3F 19 29 A2 F7 8E D1 36 C7 07,,
06:50:00.172,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:50:00.205,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09,,
06:50:00.264,EQP_TO_SOF,FE 0A C2 27 0E 00 00 00 00 00 48 0E 91 16 00 00 3F 19 29 A2 F7 8E D1 36 C7 07,,
06:50:00.347,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:50:00.376,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00,,
06:50:00.437,EQP_TO_SOF,00 00 00 C4 09 FE 0A C2 27 F0 FF 00 00 00 00 48 0E 91 16 00 00 40 19 29 A2 F7 8E D1 36 A9 09,,
06:50:00.517,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:50:00.556,EQP_TO_SOF,03 06 14 00 00 00 00 00 00 00 00 00 2A 08 00 00 00 00 C4 09 FE 0A C2 27 F0 FF,,
