DataHora;CO_%;CO2_%;HC_ppm;O2_%;NOx_ppm;RPM;Temp_C
08:03:04.455;0,0;0,0;1;21,17;None;0;250,0
08:03:05.463;0,0;0,0;1;21,17;None;0;250,0
08:03:06.458;0,0;0,0;1;21,17;None;0;250,0
08:03:07.427;0,0;0,0;1;21,17;None;0;250,0
08:03:08.390;0,0;0,0;1;21,17;None;0;250,0
08:03:09.434;0,0;0,0;1;21,17;None;0;250,0
08:03:10.451;0,0;0,0;1;21,17;None;0;250,0
08:03:11.437;0,0;0,0;1;21,17;None;0;250,0
08:03:12.422;0,0;0,0;1;21,17;None;0;250,0
08:03:13.452;0,0;0,0;1;21,17;None;0;250,0
08:03:14.430;0,0;0,0;1;21,17;None;0;250,0
08:03:15.459;0,0;0,0;1;21,17;None;0;250,0
08:03:16.456;0,0;0,0;1;21,17;None;0;250,0
08:03:17.405;0,0;0,0;1;21,17;None;0;250,0
08:03:18.455;0,0;0,0;1;21,17;None;0;250,0
08:03:19.440;0,0;0,0;1;21,17;None;0;250,0
08:03:20.438;0,0;0,0;1;21,17;None;0;250,0
08:03:21.405;0,0;0,0;1;21,17;None;0;250,0
08:03:22.458;0,0;0,0;1;21,17;None;0;250,0
08:03:23.435;0,0;0,0;1;21,17;None;0;250,0
08:03:24.442;0,0;0,0;1;21,17;None;0;250,0
08:03:25.438;0,0;0,0;1;21,17;None;0;250,0
08:03:26.419;0,0;0,0;1;21,17;None;0;250,0
08:03:27.453;0,0;0,0;1;21,17;None;0;250,0
08:03:28.449;0,0;0,0;0;21,17;None;0;250,0
08:03:29.448;0,0;0,0;1;21,17;None;0;250,0
08:03:30.426;0,0;0,0;1;21,17;None;0;250,0
08:03:31.402;0,0;0,0;1;21,17;None;0;250,0
08:03:32.387;0,0;0,0;1;21,17;None;0;250,0
08:03:33.413;0,0;0,0;1;21,17;None;0;250,0
08:03:34.385;0,0;0,0;1;21,17;None;0;250,0
08:03:35.417;0,0;0,0;0;21,17;None;0;250,0
08:03:36.452;0,0;0,0;0;21,17;None;0;250,0
08:03:37.433;0,0;0,0;0;21,17;None;0;250,0
08:03:38.468;0,0;0,0;0;21,17;None;0;250,0
08:03:39.403;0,0;0,0;0;21,17;None;0;250,0
08:03:40.454;0,0;0,0;0;21,17;None;0;250,0
08:03:41.448;0,0;0,0;0;21,17;None;0;250,0
08:03:42.434;0,0;0,0;0;21,17;None;0;250,0
08:03:43.422;0,0;0,0;0;21,17;None;0;250,0
08:03:44.424;0,0;0,0;0;21,17;None;0;250,0
08:03:45.384;0,0;0,0;0;21,17;None;0;250,0
08:03:46.463;0,0;0,0;0;21,17;None;0;250,0
08:03:47.452;0,0;0,0;0;21,17;None;0;250,0
08:03:48.382;0,0;0,0;0;21,17;None;0;250,0
08:03:49.467;0,0;0,0;0;21,17;None;0;250,0
08:03:50.402;0,0;0,0;0;21,17;None;0;250,0
08:03:51.437;0,0;0,0;0;21,17;None;0;250,0
08:03:52.365;0,0;0,0;0;21,17;None;0;250,0
08:03:53.443;0,0;0,0;0;21,17;None;0;250,0
08:03:54.449;0,0;0,0;0;21,17;None;0;250,0
08:03:55.481;0,0;0,0;0;21,17;None;0;250,0
08:03:56.458;0,0;0,0;0;21,17;None;0;250,0
08:03:57.418;0,0;0,0;0;21,17;None;0;250,0
08:03:58.403;0,0;0,0;0;21,17;None;0;250,0
08:03:59.425;0,0;0,0;0;21,17;None;0;250,0
08:04:00.416;0,0;0,0;0;21,17;None;0;250,0
08:04:01.436;0,0;0,0;0;21,17;None;0;250,0
08:04:02.455;0,0;0,0;0;21,17;None;0;250,0
08:04:03.429;0,0;0,0;1;21,17;None;0;250,0
