Data e Hora,Direção,Hex,ASCII,Nota
08:05:47.293,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:47.350,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 04 0B B7 27 0D 00 00 00 11 00 B3 0D 90 16 00 00 CA 18 58 A2 AE 8D,,
08:05:47.413,EQP_TO_SOF,EF 36 01 0A,,
08:05:48.308,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:48.374,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 04 0B B7 27 0E 00 00 00 11 00 B4 0D 90 16 00 00 CA 18 5D A2 BD 8D E2 36 0A 0A,,
08:05:49.318,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:49.375,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 04 0B B7 27 0E 00 00 00 11 00 B5 0D 90 16 00 00 C9 18 61 A2 BC 8D,,
08:05:49.433,EQP_TO_SOF,DF 36 0A 0A,,
08:05:50.326,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:50.383,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 04 0B B7 27 16 00 00 00 11 00 B6 0D 90 16 00 00 C5 18 6D A2 BC 8D,,
08:05:50.440,EQP_TO_SOF,E4 36 20 0A,,
08:05:51.335,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:51.391,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 06 0B B7 27 16 00 00 00 11 00 B6 0D 90 16 00 00 C4 18 72 A2 C7 8D,,
08:05:51.449,EQP_TO_SOF,DF 36 2C 0A,,
08:05:52.338,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:52.401,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 07 0B B7 27 F0 FF 00 00 11 00 B7 0D 90 16 00 00 C2 18 72 A2 C0 8D E0 36 FF 0B,,
08:05:53.340,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:53.394,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 07 0B B7 27 F0 FF 00 00 11 00 B8 0D 90 16 00 00 CB 18 6E A2,,
08:05:53.449,EQP_TO_SOF,D4 8D DE 36 17 0C,,
08:05:54.323,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:54.374,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 07 0B B7 27 0E 00 00 00 11 00 B9 0D 90 16 00 00,,
08:05:54.430,EQP_TO_SOF,CB 18 71 A2 C6 8D DE 36 2C 0A,,
08:05:55.323,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:55.388,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 07 0B B7 27 0E 00 00 00 11 00 B9 0D 90 16 00 00 CC 18 6A A2 BE 8D E1 36 21 0A,,
08:05:56.305,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:05:56.369,EQP_TO_SOF,03 06 14 00 00 00 01 00 00 00 00 00 64 08 FE FF 00 00 C4 09 07 0B B7 27 16 00 00 00 11 00 BA 0D 90 16 00 00 C2 18 76 A2 BE 8D E4 36 2F 0A,,
