Data e Hora,Direção,Hex,ASCII,Nota
20:32:27.287,EQP_TO_SOF,04 06 0B 00 01 40 00 00,,
20:32:27.345,EQP_TO_SOF,00 00 00 00 00 00 00 00 00 00,,
20:32:27.406,EQP_TO_SOF,47 00 00 00 EB 80,,
20:32:27.458,EQP_TO_SOF,92 00 9A 02,,
20:32:27.559,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:27.582,EQP_TO_SOF,04 06 0B 00,,
20:32:27.638,EQP_TO_SOF,01 40 00 00 00 00 00,,
20:32:27.695,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:27.752,EQP_TO_SOF,47 00 00 00 EB 80,,
20:32:27.809,EQP_TO_SOF,91 00 99 02,,
20:32:27.914,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:27.925,EQP_TO_SOF,04 06 0B,,
20:32:27.979,EQP_TO_SOF,00 01 40 00 00 00,,
20:32:28.035,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:28.095,EQP_TO_SOF,00 00 00 47 00 00,,
20:32:28.148,EQP_TO_SOF,00 EB 80 91 00,,
20:32:28.206,EQP_TO_SOF,99 02,,
20:32:28.291,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:28.317,EQP_TO_SOF,04 06 0B,,
20:32:28.380,EQP_TO_SOF,00 01 40,,
20:32:28.438,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:28.492,EQP_TO_SOF,00 00 00 00 00 47,,
20:32:28.557,EQP_TO_SOF,00 00 00 EB 80 91 00 99,,
20:32:28.627,EQP_TO_SOF,02,,
20:32:28.689,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:28.689,EQP_TO_SOF,04,,
20:32:28.745,EQP_TO_SOF,06 0B 00 01 40 00,,
20:32:28.801,EQP_TO_SOF,00 00 00 00 00,,
20:32:28.866,EQP_TO_SOF,00 00 00 00 00,,
20:32:28.926,EQP_TO_SOF,00 47 00 00 00 EB,,
20:32:28.977,EQP_TO_SOF,80 91 00 99,,
20:32:29.034,EQP_TO_SOF,02,,
20:32:29.097,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:29.153,EQP_TO_SOF,04 06 0B 00 01,,
20:32:29.206,EQP_TO_SOF,40 00 00 00 00 00,,
20:32:29.259,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:29.317,EQP_TO_SOF,00 47 00 00 00 EB 80,,
20:32:29.375,EQP_TO_SOF,91 00 99 02,,
20:32:29.498,EQP_TO_SOF,04 06 0B,,
20:32:29.498,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:29.555,EQP_TO_SOF,00 01 40 00 00 00 00 00,,
20:32:29.612,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:29.664,EQP_TO_SOF,00 47 00 00,,
20:32:29.718,EQP_TO_SOF,00 EB 80 91 00 99,,
20:32:29.775,EQP_TO_SOF,02,,
20:32:29.831,SOF_TO_EQP,04,,
20:32:29.897,SOF_TO_EQP,00 00 00 04 00,,
20:32:29.897,EQP_TO_SOF,04 06 0B 00 01 40 00,,
20:32:29.952,EQP_TO_SOF,00 00 00 00 00,,
20:32:30.009,EQP_TO_SOF,00 00 00 00 00,,
20:32:30.075,EQP_TO_SOF,00 47 00 00 00 EB,,
20:32:30.133,EQP_TO_SOF,80 91 00 99 02,,
20:32:30.245,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:30.302,EQP_TO_SOF,04 06 0B 00 01 40,,
20:32:30.366,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:30.419,EQP_TO_SOF,00 00 00 00 00 47,,
20:32:30.481,EQP_TO_SOF,00 00 00 EB 80 91,,
20:32:30.538,EQP_TO_SOF,00 99 02,,
20:32:30.650,EQP_TO_SOF,04 06,,
20:32:30.650,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:30.714,EQP_TO_SOF,0B 00 01 40 00 00 00 00 00,,
20:32:30.772,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:30.830,EQP_TO_SOF,00 47 00 00 00 EB 80 91,,
20:32:30.887,EQP_TO_SOF,00 99 02,,
20:32:30.993,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:30.994,EQP_TO_SOF,04 06 0B,,
20:32:31.045,EQP_TO_SOF,00 01 40 00,,
20:32:31.095,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:31.153,EQP_TO_SOF,00 00 00 00 00 47,,
20:32:31.218,EQP_TO_SOF,00 00 00 EB 80 90,,
20:32:31.276,EQP_TO_SOF,00 98 02,,
20:32:31.333,SOF_TO_EQP,04,,
20:32:31.384,EQP_TO_SOF,04 06 0B 00,,
20:32:31.392,SOF_TO_EQP,00 00 00 04 00,,
20:32:31.449,EQP_TO_SOF,01 40 00 00 00 00 00,,
20:32:31.513,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:31.571,EQP_TO_SOF,47 00 00 00 EB 80 90,,
20:32:31.628,EQP_TO_SOF,00 98 02,,
20:32:31.750,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00,,
20:32:31.750,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:31.807,EQP_TO_SOF,00 00 00 00 00 00 47 00 00 00 EB 80 90,,
20:32:31.871,EQP_TO_SOF,00 98 02,,
20:32:31.929,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:31.985,EQP_TO_SOF,04 06 0B 00 01,,
20:32:32.051,EQP_TO_SOF,40 00 00 00 00 00 00 00,,
20:32:32.108,EQP_TO_SOF,00 00 00 00 00 47 00,,
20:32:32.159,EQP_TO_SOF,00 00 EB 80 90 00 98,,
20:32:32.217,EQP_TO_SOF,02,,
20:32:32.271,SOF_TO_EQP,04,,
20:32:32.323,EQP_TO_SOF,04 06 0B 00 01,,
20:32:32.324,SOF_TO_EQP,00 00 00 04 00,,
20:32:32.380,EQP_TO_SOF,40 00 00 00 00,,
20:32:32.435,EQP_TO_SOF,00 00 00 00,,
20:32:32.486,EQP_TO_SOF,00 00 00 00,,
20:32:32.543,EQP_TO_SOF,47 00 00 00 EB 80,,
20:32:32.671,EQP_TO_SOF,90 00 98 02,,
20:32:32.727,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:32.785,EQP_TO_SOF,04 06 0B 00 01 40,,
20:32:32.841,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:32.899,EQP_TO_SOF,00 00 00 00 00 00 47 00,,
20:32:32.955,EQP_TO_SOF,00 00 EB 80 90,,
20:32:33.012,EQP_TO_SOF,00 98 02,,
20:32:33.141,EQP_TO_SOF,04 06 0B,,
20:32:33.141,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:33.197,EQP_TO_SOF,00 01 40 00 00,,
20:32:33.263,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:33.319,EQP_TO_SOF,00 00 00 00 47 00,,
20:32:33.383,EQP_TO_SOF,00 00 EB 80 90,,
20:32:33.448,EQP_TO_SOF,00 98 02,,
20:32:33.571,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:33.571,EQP_TO_SOF,04 06 0B 00 01,,
20:32:33.635,EQP_TO_SOF,40 00 00 00 00 00,,
20:32:33.693,EQP_TO_SOF,00 00 00 00 00,,
20:32:33.748,EQP_TO_SOF,00 00 47 00,,
20:32:33.803,EQP_TO_SOF,00 00 EB 80 8F 00,,
20:32:33.863,EQP_TO_SOF,97 02,,
20:32:33.921,SOF_TO_EQP,04,,
20:32:33.978,EQP_TO_SOF,04 06 0B 00 01,,
20:32:33.978,SOF_TO_EQP,00 00 00 04 00,,
20:32:34.032,EQP_TO_SOF,40 00 00 00 00 00 00,,
20:32:34.088,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:34.144,EQP_TO_SOF,47 00 00 00 EB 80,,
20:32:34.201,EQP_TO_SOF,8F 00 97 02,,
20:32:34.313,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:34.313,EQP_TO_SOF,04 06 0B,,
20:32:34.371,EQP_TO_SOF,00 01 40 00 00 00 00,,
20:32:34.429,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:34.485,EQP_TO_SOF,00 47 00 00 00 EB 80,,
20:32:34.543,EQP_TO_SOF,8F 00 97 02,,
20:32:34.608,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:34.671,EQP_TO_SOF,04 06 0B 00 01 40,,
20:32:34.730,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:34.788,EQP_TO_SOF,00 00 00 00 00,,
20:32:34.845,EQP_TO_SOF,47 00 00 00 EB 80 8F 00,,
20:32:34.902,EQP_TO_SOF,97 02,,
20:32:34.958,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:35.015,EQP_TO_SOF,04 06 0B 00 01 40 00,,
20:32:35.067,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:35.122,EQP_TO_SOF,00 00 00 00 00,,
20:32:35.185,EQP_TO_SOF,47 00 00 00 EB 80,,
20:32:35.242,EQP_TO_SOF,8F 00 97 02,,
20:32:35.306,EQP_TO_SOF,04 06,,
20:32:35.306,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:35.357,EQP_TO_SOF,0B 00 01 40 00 00,,
20:32:35.414,EQP_TO_SOF,00 00 00 00 00,,
20:32:35.476,EQP_TO_SOF,00 00 00 00 00,,
20:32:35.533,EQP_TO_SOF,47 00 00 00 EB,,
20:32:35.591,EQP_TO_SOF,80 8F 00 97 02,,
20:32:35.647,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:35.647,EQP_TO_SOF,04,,
20:32:35.703,EQP_TO_SOF,06 0B 00 01 40 00,,
20:32:35.766,EQP_TO_SOF,00 00 00 00 00,,
20:32:35.824,EQP_TO_SOF,00 00 00 00 00 00,,
20:32:35.882,EQP_TO_SOF,47 00 00 00 EB 80,,
20:32:35.935,EQP_TO_SOF,8F 00 97 02,,
20:32:35.991,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
20:32:35.991,EQP_TO_SOF,04 06,,
20:32:36.048,EQP_TO_SOF,0B 00 01 40 00,,
20:32:36.105,EQP_TO_SOF,00 00 00 00 00 00 00,,
20:32:36.163,EQP_TO_SOF,00 00 00 00 47 00,,
20:32:36.220,EQP_TO_SOF,00 00 EB 80 8F 00,,
20:32:36.277,SOF_TO_EQP,04,,
20:32:36.277,EQP_TO_SOF,97 02,,
20:32:36.335,SOF_TO_EQP,00 00 00 04 00,,
20:32:36.335,EQP_TO_SOF,04 06 0B 00 01,,
20:32:36.391,EQP_TO_SOF,40 00 00 00 00,,
