Data e Hora,Direção,Hex,ASCII,Nota
08:11:30.332,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:30.388,EQP_TO_SOF,03 06 14 00 00 08 02 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 0E 00 00 00 1C 00 61 0E 90 16 00 00 F1 18 8C A2 68 8F C5,,
08:11:30.453,EQP_TO_SOF,36 33 0A,,
08:11:31.297,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:31.353,EQP_TO_SOF,03 06 14 00 00 08 02 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 16 00 00 00 1C 00 61 0E 90 16 00 00 EF 18 88 A2 68 8F,,
08:11:31.418,EQP_TO_SOF,C7 36 37 0A,,
08:11:32.302,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:32.359,EQP_TO_SOF,03 06 14 00 00 08 02 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 16 00 00 00 1C 00 61 0E 90 16 00 00 ED 18 94 A2 77 8F C3,,
08:11:32.413,EQP_TO_SOF,36 4C 0A,,
08:11:33.294,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:33.349,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 F0 FF 00 00 1C 00 61 0E 90 16 00 00 F0 18 94 A2 6D,,
08:11:33.407,EQP_TO_SOF,8F CC 36 26 0C,,
08:11:34.341,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:34.399,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 F0 FF 00 00 1C 00 61 0E 90 16 00 00 F3 18 9A A2 6D 8F CC 36,,
08:11:34.465,EQP_TO_SOF,2F 0C,,
08:11:35.341,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:35.399,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 0E 00 00 00 1C 00 62 0E 90 16 00 00 F3 18 9C A2 83 8F CC 36,,
08:11:35.456,EQP_TO_SOF,67 0A,,
08:11:36.319,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:36.373,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 0E 00 00 00 1C 00 63 0E 90 16 00 00 F2 18 9A A2 7C 8F,,
08:11:36.431,EQP_TO_SOF,CE 36 60 0A,,
08:11:37.324,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:37.382,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 16 00 00 00 1C 00 63 0E 90 16 00 00 ED 18 9D A2 7C 8F C7,,
08:11:37.433,EQP_TO_SOF,36 5F 0A,,
08:11:38.361,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:38.418,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 16 00 00 00 1C 00 63 0E 90 16 00 00 F3 18 9F A2 6A 8F C9,,
08:11:38.482,EQP_TO_SOF,36 57 0A,,
08:11:39.324,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:39.382,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 F0 FF 00 00 1C 00 63 0E 90 16 00 00 EE 18 9F A2 6A 8F C6,,
08:11:39.438,EQP_TO_SOF,36 28 0C,,
08:11:40.352,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:40.402,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 F0 FF 00 00 1C 00 65 0E 90 16 00 00,,
08:11:40.458,EQP_TO_SOF,F3 18 A9 A2 74 8F C6 36 43 0C,,
08:11:41.339,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:41.387,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 0E 00 00 00 1C 00 66 0E 90 16,,
08:11:41.443,EQP_TO_SOF,00 00 F3 18 A7 A2 73 8F C6 36 60 0A,,
08:11:42.327,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:42.384,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 0E 00 00 00 1C 00 67 0E 90 16 00 00 F0 18 AB A2 6F 8F,,
08:11:42.440,EQP_TO_SOF,C4 36 5C 0A,,
08:11:43.319,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:43.373,EQP_TO_SOF,03 06 14 00 00 08 02 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 16 00 00 00 1C 00 67 0E 90 16 00 00 EE 18 AE A2,,
08:11:43.429,EQP_TO_SOF,6F 8F C4 36 66 0A,,
08:11:44.293,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:44.349,EQP_TO_SOF,03 06 14 00 00 08 02 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 16 00 00 00 1C 00 67 0E 90 16 00 00 E9 18 AD A2 79 8F,,
08:11:44.409,EQP_TO_SOF,C4 36 6A 0A,,
08:11:45.314,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:45.370,EQP_TO_SOF,03 06 14 00 00 08 02 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 F0 FF 00 00 1C 00 67 0E 90 16 00 00 EF 18 AD A2 78 8F C9,,
08:11:45.427,EQP_TO_SOF,36 4D 0C,,
08:11:46.307,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:46.364,EQP_TO_SOF,03 06 14 00 00 08 01 00 01 00 00 00 9D 08 FE FF 00 00 C4 09 4D 0B B5 27 F0 FF 00 00 1C 00 67 0E 90 16 00 00 F1 18 A6 A2 6A 8F,,
08:11:46.428,EQP_TO_SOF,C3 36 33 0C,,
08:11:47.303,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:47.697,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
08:11:48.155,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
