Data e Hora,Direção,Hex,ASCII,Nota
06:25:55.616,EQP_TO_SOF,24 0C,,
06:25:56.181,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:56.237,EQP_TO_SOF,03 06 14 00 88 06 27 01 CC FF 98 04 CA 07 1B 00 00 00 C4 09 5F 09 CA 27 61 00 00 00 41 FE 4B 09 C0 15 00 00 BA 1D 19 A7 4D,,
06:25:56.294,EQP_TO_SOF,C3 89 38 7D 0C,,
06:25:56.907,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:56.967,EQP_TO_SOF,03 06 14 00 88 06 2A 01 D4 FF 94 04 CA 07 1B 00 00 00 C4 09 61 09 CA 27 08 00 00 00 53 FE 4D 09 D5 15 00 00 7C 1E F7 A5 4D C3 58 39 C5,,
06:25:57.026,EQP_TO_SOF,0C,,
06:25:57.654,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:57.704,EQP_TO_SOF,03 06 14 00 88 06 28 01 D3 FF 92 04 CA 07 1B 00 00 00 C4 09 61 09 CA 27 FD FF 00 00 70 FE 4E 09 E7 15 00 00,,
06:25:57.755,EQP_TO_SOF,99 1F F7 A5 4D C3 90 3A 3B 0F,,
06:25:58.303,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:58.365,EQP_TO_SOF,03 06 14 00 88 06 26 01 DE FF 8F 04 CA 07 1B 00 00 00 C4 09 63 09 CA 27 61 00 00 00 64 FE 4F 09 FA 15 00 00 99 1F 8F A1 4D C3 90 3A 44 0D,,
06:25:58.943,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:58.998,EQP_TO_SOF,03 06 14 00 88 06 1E 01 DD FF 8C 04 CA 07 1B 00 00 00 C4 09 64 09 CA 27 FD FF 00 00 8F FE 51 09 0C 16 00 00 49 21 8F A1 4D,,
06:25:59.060,EQP_TO_SOF,C3 84 3C BC 0D,,
06:25:59.656,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:59.716,EQP_TO_SOF,03 06 14 00 88 06 1D 01 EC FF 8A 04 CA 07 1B 00 00 00 C4 09 66 09 CA 27 61 00 00 00 85 FE 52 09 1B 16 00 00 49 21 C9 97 4D C3 84 3C 65,,
06:25:59.777,EQP_TO_SOF,0C,,
06:26:00.381,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:26:00.445,EQP_TO_SOF,03 06 14 00 89 04 19 01 14 00 87 04 CA 07 1A 00 00 00 C4 09 67 09 CA 27 0A 00 00 00 B3 FE 54 09 2D 16 00 00 66 20 D8 87 4D C3 8B 3F 96 0A,,
06:26:00.503,SOF_TO_EQP,08 00 02 00 00 00 00 00 0A 00,,
06:26:00.555,EQP_TO_SOF,08 06 01 00 50 00 5F 00,,
06:26:00.608,SOF_TO_EQP,08 00 03 00 01 00 00 00 40 00 4C 00,,
06:26:00.658,EQP_TO_SOF,08 06 00 00 0E 00,,
06:26:20.906,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:26:20.961,EQP_TO_SOF,03 06 14 00 88 00 9F 00 FE FF 03 00 BB 07 16 00 00 00 C4 09 78 09 C9 27 19 00 00 00 BD FF 72 09 B9 16 00 00 38 25 8C A7,,
06:26:21.017,EQP_TO_SOF,77 94 E0 3B 2F 0D,,
06:26:23.685,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:23.719,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80,,
06:26:23.774,EQP_TO_SOF,27 00 DD 01,,
06:26:23.856,SOF_TO_EQP,08 00 02 00 00 00 00 00 0A 00,,
06:26:23.880,EQP_TO_SOF,08 06 01 00 00 00 0F 00,,
06:26:23.921,SOF_TO_EQP,08 00 03 00 01 00 00 00 00 00 0C 00,,
06:26:23.995,EQP_TO_SOF,08 06 00 00 0E 00,,
06:26:24.552,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:24.585,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0,,
06:26:24.644,EQP_TO_SOF,80 27 00 DD 01,,
06:26:25.234,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:25.299,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 26 00 DC 01,,
06:26:25.866,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:25.922,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 25 00 DB 01,,
06:26:26.441,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:26.499,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 25 00 DB 01,,
06:26:27.026,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:27.092,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 44 00 00 00 A0 80 24 00 DE 01,,
06:26:27.598,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:27.656,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 44 00 00 00 28 80 23 00 65 01,,
06:26:28.172,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:28.230,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 44 00 00 00 28 80 23 00 65 01,,
06:26:28.756,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:28.806,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 44 00 00 00 A8 80 22 00 E4 01,,
06:26:29.322,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:29.378,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A8 80 22 00 E0 01,,
06:26:29.956,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:30.022,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 21 00 D7 01,,
06:26:30.599,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:30.655,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 21 00 D7 01,,
06:26:31.226,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:31.281,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 20 00 D6 01,,
06:26:31.836,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:31.888,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 1F 00 D5 01,,
06:26:32.464,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:32.522,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 1F 00 D5 01,,
06:26:33.090,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:33.146,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80 1E 00 D4 01,,
06:26:33.706,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:33.756,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 20 80 1E 00 54 01,,
06:26:34.344,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:34.402,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 20 80 1E 00 54 01,,
06:26:34.966,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
